,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
322,2021-03-02,28773252,54491,64296.80804196128,515512,1320,1859.1727365116462,515512
323,2021-03-03,28830270,57018,62641.97198872181,517445,1933,1799.9732894874003,517445
324,2021-03-04,28897467,67197,60912.26464951758,520026,2581,1734.387113109964,520026
325,2021-03-05,28965989,68522,59194.702447091615,521978,1952,1664.4096670281644,521978
326,2021-03-06,29032854,66865,57574.40743426251,523701,1723,1592.1978431168338,523701
327,2021-03-07,29092138,59284,56127.994326317625,525232,1531,1519.9181523436196,525232
328,2021-03-08,29134204,42066,54918.03351593212,525943,711,1449.6050477980739,525943
329,2021-03-09,29178539,44335,53988.98677679314,526648,705,1383.038951172498,526648
330,2021-03-10,29234333,55794,53364.87382898423,528432,1784,1321.6515291801402,528432
331,2021-03-11,29292571,58238,53048.77232116582,530004,1572,1266.4632808552049,530004
